Tag,Count
AI,4160
AI safety,973
World Modeling,697
Building effective altruism,687
Existential risk,590
Community,585
Announcements and updates,530
Opportunities to take action,510
Research,488
Philosophy,482
Interpretability (ML & AI),472
Policy,455
Cause prioritization,447
Global health & development,447
Animal welfare,441
Rationality,401
Opinion,380
Effective giving,358
Career choice,357
AI Risk,331
World Optimization,310
Practical,297
AI governance,294
Language Models (LLMs),279
Forecasting,243
Organization updates,228
Biosecurity,185
Newsletters,185
AI Timelines,162
AI Governance,156
Machine Learning  (ML),154
Decision theory,151
Application announcements,149
Inner Alignment,146
Deceptive Alignment,135
Moral philosophy,135
Economics,133
Collections and resources,131
AI alignment,126
MATS Program,125
Job listing (open),121
Outer Alignment,120
News relevant to effective altruism,118
Research Agendas,114
AI Evaluations,113
Longtermism,113
Giving Season (2024),111
AI Control,108
Farmed animal welfare,106
AI Takeoff,104
OpenAI,102
US policy,99
Sparse Autoencoders (SAEs),97
Epistemology,96
GPT,91
Cost-effectiveness analysis,89
AI Alignment Fieldbuilding,87
Logic & Mathematics,87
Forecasting & Prediction,86
Agent Foundations,85
Threads,82
Value Learning,82
Reinforcement learning,81
Corrigibility,76
AI forecasting,74
Agency,68
Public communication on AI safety,68
Ethics & Morality,66
Goodhart's Law,65
Psychology,65
Mesa-Optimization,64
Funding request (open),63
Embedded Agency,61
AI-Assisted Alignment,60
Artificial sentience,60
Building the field of AI safety,60
Fiction,60
Neuroscience,58
Game Theory,57
Requests (open),57
Conferences,56
Interviews,56
Optimization,56
Rethink Priorities,56
Eliciting Latent Knowledge,55
Organization strategy,55
Audio,54
Criticism of effective altruism,54
Global catastrophic risk,54
Coordination / Cooperation,53
Draft Amnesty Week (2025),53
Human Values,53
Pandemic preparedness,53
Fellowships and internships,52
Instrumental convergence,52
Large Language Models,51
Redwood Research,50
Funding opportunities,49
AXRP,48
China,48
Threat Models (AI),48
Abstraction,47
Debate (AI safety technique),47
Effective altruism culture,47
Effective Altruism Forum,47
Superintelligence,47
Chain-of-Thought Alignment,46
Marginal Funding Week,46
Podcasts,46
Utility Functions,46
Climate change,45
Surveys,45
Video,45
Artificial intelligence,44
Conjecture (org),44
Forecasts (Specific Predictions),44
Goal-Directedness,44
Iterated Amplification,44
Impact Regularization,43
Postmortems & retrospectives,43
Effective altruism groups,42
Simulator Theory,42
Effective altruism funding,41
Grantmaking,41
History,41
Personal development,41
Wild animal welfare,41
AI Capabilities,40
AI evaluations and standards,40
Hiring,40
Open Philanthropy,40
Shard Theory,39
Books,38
RLHF,38
Career advising,37
DeepMind,37
Dietary change,37
Causality,36
Distillation & Pedagogy,36
Economic growth,36
Moral uncertainty,36
Singular Learning Theory,36
Biology,35
Complexity of value,35
Criticism of work in effective altruism,35
Deception,35
EAGx,35
Ethics of artificial intelligence,35
Infra-Bayesianism,35
Mental health (cause area),35
Natural Abstraction,35
Probability & Statistics,35
Utilitarianism,35
AI risk skepticism,34
Charity evaluation,34
Education,34
Fundraising,34
Practice & Philosophy of Science,34
Transcripts,34
Consciousness,33
Consciousness research,33
Entrepreneurship,33
Scaling Laws,33
AI Safety Camp,32
AI Welfare Debate Week (2024),32
Myopia,32
Research summary,32
Anthropic (org),31
Centre for Effective Altruism,31
Effective animal advocacy,31
Evolution,31
Giving What We Can,31
Impact assessment,31
Improving institutional decision-making,31
Metaculus,31
Productivity,31
Activation Engineering,30
Community experiences,30
Effective Altruism Global,30
University groups,30
Anthropics,29
April Fools' Day,29
Criticism of effective altruist organizations,29
Animal Welfare vs Global Health Debate Week,28
Careers,28
Donation choice,28
Economic Consequences of AGI,28
GiveWell,28
Politics,28
Postmortems & Retrospectives,28
S-risk,28
Effective altruism,27
Invertebrate welfare,27
Religion,27
Academic Papers,26
Africa,26
AI interpretability,26
AI Safety Public Materials,26
Bounties (closed),26
Community infrastructure,26
Has Diagram,26
Oracle AI,26
Research training programs,26
Self-care and wellbeing in the effective altruism community,26
Site Meta,26
Aligned AI Proposals,25
Economics of artificial intelligence,25
Regulation and AI Risk,25
Reward Functions,25
Slowing down AI,25
AI safety resources and materials,24
Ambitious Impact,24
Foreign aid,24
Health / Medicine / Disease,24
Apollo Research (org),23
Futurism,23
General intelligence,23
Scholarship & Learning,23
AI Boxing (Containment),22
AI Risk Concrete Stories,22
Alignment Research Center (ARC),22
Animal product alternatives,22
Animal sentience,22
Community epistemic health,22
Consequentialism,22
Effective altruism art and fiction,22
Field-building,22
Global priorities research,22
Operations,22
Progress Studies,22
Whole Brain Emulation,22
"80,000 Hours",21
AI benchmarks,21
Boundaries / Membranes [technical],21
Corporate animal welfare campaigns,21
Criticism of effective altruist causes,21
Fermi estimate,21
Moral circle expansion,21
Moral patienthood,21
Nuclear security,21
"Truth, Semantics, & Meaning",21
UK policy,21
Workshops / Retreats / Summits,21
AI Rights / Welfare,20
Donation pledge,20
Earning to give,20
Electoral politics,20
Factored Cognition,20
Insect welfare,20
Intellectual Progress (Society-Level),20
Long-term future,20
Pain and suffering,20
Recursive Self-Improvement,20
Refine,20
Self Fulfilling/Refuting Prophecies,20
Transformative artificial intelligence,20
United States,20
Wireheading,20
"80,000 Hours Podcast",19
AI safety groups,19
AI Sentience,19
Book Reviews / Media Reviews,19
Effective altruism messaging,19
Exercises / Problem-Sets,19
Finite Factored Sets,19
Fish welfare,19
Inverse Reinforcement Learning,19
Meta-Philosophy,19
Moral weight,19
Open Problems,19
PIBBSS,19
Population ethics,19
Technological Forecasting,19
Transformer Circuits,19
Transhumanism,19
AI Benchmarking,18
AI race,18
Animal Ethics,18
Diversity and inclusion,18
Funding Strategy Week,18
Global catastrophic biological risk,18
Good things & impact stories,18
International relations,18
Meditation,18
Models,18
Neuromorphic AI,18
Self Improvement,18
Subagents,18
